id,text
72,Finished class where are you.
73,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
74,K..k:)where are you?how did you performed?
75,U can call me now...
76,I am waiting machan. Call me once you free.
77,Thats cool. i am a gentleman and will treat you with dignity and respect.
78,I like you peoples very much:) but am very shy pa.
79,Does not operate after  &lt;#&gt;  or what
80,Its not the same here. Still looking for a job. How much do Ta's earn there.
81,"Sorry, I'll call later"
82,K. Did you call me just now ah? 
83,Ok i am on the way to home hi hi
84,You will be in the place of that man
85,Yup next stop.
86,"I call you later, don't have network. If urgnt, sms me."
87,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
88,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
89,I'm really not up to it still tonight babe
90,"Ela kano.,il download, come wen ur free.."
91,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!
92,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
93,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
94,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
95,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
96,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
97,Watching telugu movie..wat abt u?
98,i see. When we finish we have loads of loans to pay
99,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
100,Please don't text me anymore. I have nothing else to say.
101,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
102,I'm still looking for a car to buy. And have not gone 4the driving test yet.
103,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
105,Umma my life and vava umma love you lot dear
106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
107,"Aight, I'll hit you up when I get some cash"
108,How would my ip address test that considering my computer isn't a minecraft server
109,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
110,Dont worry. I guess he's busy.
111,What is the plural of the noun research?
112,Going for dinner.msg you after.
113,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
114,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
117,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
119,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
120,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
121,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,here is my new address -apples&pairs&all that malarky
123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
124,I am going to sao mu today. Will be done only at 12
125,ÌÏ predict wat time Ì_'ll finish buying?
126,"Good stuff, will do."
127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
128,Are you there in room.
129,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
130,K..k:)how much does it cost?
131,I'm home.
132,"Dear, will call Tmorrow.pls accomodate."
133,First answer my question.
134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
136,I only haf msn. It's yijue@hotmail.com
137,He is there. You call and meet him
138,No no. I will check all rooms befor activities
139,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
140,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
141,"K, text me when you're on the way"
142,"Sir, Waiting for your mail."
143,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
144,I know you are. Can you pls open the back?
145,Yes see ya not on the dot
146,Whats the staff name who is taking class for us?
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
149,K..i deleted my contact that why?
150,Sindu got job in birla soft ..
151,The wine is flowing and i'm i have nevering..
152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
153,Ok... Ur typical reply...
154,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
156,Aaooooright are you at work?
157,I'm leaving my house now...
158,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
160,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
161,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
162,New car and house for my parents.:)i have only new job in hand:)
163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
166,I place all ur points on e cultures module already.
167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
169,Great escape. I fancy the bridge but needs her lager. See you tomo 
170,Yes :)it completely in out of form:)clark also utter waste.
171,"Sir, I need AXIS BANK account no and bank address."
172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
173,What time you coming down later? 
174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
175,"Well, i'm gonna finish my bath now. Have a good...fine night."
176,Let me know when you've got the money so carlos can make the call
177,U still going to the mall?
178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
179,Text her. If she doesnt reply let me know so i can have her log in
180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
182,Lol no. U can trust me.
183,ok. I am a gentleman and will treat you with dignity and respect.
184,"He will, you guys close?"
185,Going on nothing great.bye
186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
187,"Haha awesome, be there in a minute"
188,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
189,Have you got Xmas radio times. If not i will get it now
190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
193,Hi :)finally i completed the course:)
194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
196,Gud mrng dear hav a nice day
197,Did u got that persons story
198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
199,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
200,"Found it, ENC  &lt;#&gt; , where you at?"
201,I sent you  &lt;#&gt;  bucks
202,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
204,Goodmorning sleeping ga.
205,U call me alter at 11 ok.
206,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
207,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
208,"Aight yo, dats straight dogg"
209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
210,Both :) i shoot big loads so get ready!
211,"What's up bruv, hope you had a great break. Do have a rewarding semester."
212,Home so we can always chat
213,K:)k:)good:)study well.
214,Yup... How Ì_ noe leh...
215,Sounds great! Are you home now?
216,Finally the match heading towards draw as your prediction.
217,Tired. I haven't slept well the past few nights.
218,Easy ah?sen got selected means its good..
219,I have to take exam with march 3
220,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
221,Ok no prob. Take ur time.
222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
223,"Sorry, I'll call later"
224,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
225,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
226,Would really appreciate if you call me. Just need someone to talk to.
227,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
228,Hey company elama po mudyadhu.
229,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
230,Dear good morning now only i am up
231,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
232,Dear we are going to our rubber place
233,"Sorry battery died, yeah I'm here"
234,Yes:)here tv is always available in work place..
235,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
236,I have printed it oh. So  &lt;#&gt;  come upstairs
237,Or ill be a little closer like at the bus stop on the same street
238,Where are you?when wil you reach here?
239,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
240,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
241,Tomarrow final hearing on my laptop case so i cant.
242,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
243,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
244,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
245,U don't remember that old commercial?
246,Too late. I said i have the website. I didn't i have or dont have the slippers
247,I asked you to call him now ok
248,Kallis wont bat in 2nd innings.
249,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
250,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
251,Ranjith cal drpd Deeraj and deepak 5min hold
252,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
253,What you doing?how are you?
254,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
255,"I'm back, lemme know when you're ready"
256,Don't necessarily expect it to be done before you get back though because I'm just now headin out
257,Mmm so yummy babe ... Nice jolt to the suzy
258,Where are you lover ? I need you ...
259,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
260,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?
261,Yup
262,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
263,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
264,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
265,Why you Dint come with us.
266,Same. Wana plan a trip sometme then
267,"Not sure yet, still trying to get a hold of him"
268,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
269,The evo. I just had to download flash. Jealous?
270,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
271,"Come to mu, we're sorting out our narcotics situation"
272,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
273,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
274,"Usf I guess, might as well take 1 car"
275,No objection. My bf not coming.
276,Thanx...
277,Tell rob to mack his gf in the theater
278,"Awesome, I'll see you in a bit"
279,Just sent it. So what type of food do you like?
280,All done? All handed in? Celebrations in full swing yet?
281,You got called a tool?
282,\Wen u miss someone
283,Ok. I asked for money how far
284,Okie...
285,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
286,"K, I might come by tonight then if my class lets out early"
287,Ok..
288,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
290,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
291,Hey you told your name to gautham ah?
292,Haf u found him? I feel so stupid da v cam was working.
293,Oops. 4 got that bit.
294,Are you this much buzy
295,I accidentally deleted the message. Resend please.
296,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
297,Unless it's a situation where YOU GO GURL would be more appropriate
298,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
299,I cant pick the phone right now. Pls send a message
300,Need a coffee run tomo?Can't believe it's that time of week already
301,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
302,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
303,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
304,He is a womdarfull actor
305,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
306,Yup... From what i remb... I think should be can book... 
307,Jos ask if u wana meet up?
308,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
309,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
310,Where are the garage keys? They aren't on the bookshelf
311,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
313,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
314,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
315,You made my day. Do have a great day too.
316,K.k:)advance happy pongal.
317,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
318,"Not really dude, have no friends i'm afraid :("
319,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
320,"Coffee cake, i guess..."
321,"Merry Christmas to you too babe, i love ya *kisses*"
322,Hey... Why dont we just go watch x men and have lunch... Haha 
323,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
324,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
325,No problem. How are you doing?
326,No calls..messages..missed calls
327,Hi da:)how is the todays class?
328,"I'd say that's a good sign but, well, you know my track record at reading women"
329,"Cool, text me when you're parked"
330,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
331,K.k:)apo k.good movie.
332,Maybe i could get book out tomo then return it immediately ..? Or something.
333,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
334,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
335,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
336,"Ta-Daaaaa! I am home babe, are you still up ?"
337,Cool. So how come you havent been wined and dined before?
338,Just sleeping..and surfing
339,"Sorry, I'll call later"
340,U calling me right? Call my hand phone...
341,Ok that's great thanx a lot.
342,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
343,Where u been hiding stranger?
344,Am not interested to do like that.
345,My sister cleared two round in birla soft yesterday.
346,Gudnite....tc...practice going on
347,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
348,One small prestige problem now.
349,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
350,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
351,"Nah can't help you there, I've never had an iphone"
352,If you're not in my car in an hour and a half I'm going apeshit
353,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
354,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
355,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
356,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
357,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
358,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
359,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
360,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
361,Ha ha cool cool chikku chikku:-):-DB-)
362,Oh ok no prob..
363,Check audrey's status right now
364,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
365,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
366,Well i know Z will take care of me. So no worries.
367,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
368,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
369,Wat uniform? In where get?
370,"Cool, text me when you're ready"
371,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
372,I will spoil you in bed as well :)
373,I'm going for bath will msg you next  &lt;#&gt;  min..
374,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
375,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
376,Can you say what happen
377,You could have seen me..i did't recognise you Face.:)
378,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
379,Keep my payasam there if rinu brings
380,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
